source,target,trip_count,weighted_trips
Alpine (S),Alpine (S),3,1487.584971803
Alpine (S),Mitchell (S),3,1487.584971803
Ararat (RC),Northern Grampians (S),1,156.581853815
Ballarat (C),Ballarat (C),406,93796.516350741
Ballarat (C),Brimbank (C),1,764.80064353
Ballarat (C),Golden Plains (S),3,469.385632686
Ballarat (C),Hepburn (S),4,1652.134586625
Ballarat (C),Melbourne (C),3,538.727972306
Ballarat (C),Moorabool (S),7,2717.648816839
Ballarat (C),Pyrenees (S),1,109.062505389
Banyule (C),Banyule (C),182,89080.43405115
Banyule (C),Boroondara (C),3,1542.844108773
Banyule (C),Brimbank (C),1,797.787382086
Banyule (C),Darebin (C),47,24673.249244123
Banyule (C),Greater Geelong (C),3,2455.552166685
Banyule (C),Hume (C),1,652.772223378
Banyule (C),Manningham (C),11,3788.062691491
Banyule (C),Melbourne (C),11,8219.538424493
Banyule (C),Merri-bek (C),5,3680.846218984
Banyule (C),Moonee Valley (C),1,732.211250838
Banyule (C),Nillumbik (S),19,11358.582237143
Banyule (C),Port Phillip (C),1,418.291640808
Banyule (C),Stonnington (C),3,1744.206064442
Banyule (C),Whitehorse (C),2,1482.6066480609998
Banyule (C),Whittlesea (C),15,11601.273953238
Banyule (C),Yarra (C),5,3636.8387350820003
Bass Coast (S),Bass Coast (S),31,18534.100736979
Bass Coast (S),Cardinia (S),6,4672.957622702
Bass Coast (S),Casey (C),3,1757.765118925
Bass Coast (S),South Gippsland (S),1,580.945695846
Baw Baw (S),Baw Baw (S),19,12907.430172986
Baw Baw (S),Cardinia (S),1,422.172077787
Bayside (C),Bayside (C),162,99807.598076951
Bayside (C),Boroondara (C),1,793.59607643
Bayside (C),Brimbank (C),2,409.67447956800004
Bayside (C),Casey (C),1,496.382332571
Bayside (C),Glen Eira (C),25,20942.684642854
Bayside (C),Greater Dandenong (C),1,664.505215624
Bayside (C),Kingston (C),71,49249.914384388
Bayside (C),Mansfield (S),1,457.570622917
Bayside (C),Melbourne (C),5,2994.766041692
Bayside (C),Monash (C),7,3853.129774426
Bayside (C),Mornington Peninsula (S),1,923.255279184
Bayside (C),Port Phillip (C),18,11618.201105279
Bayside (C),Stonnington (C),6,5192.604253144
Bayside (C),Surf Coast (S),4,2062.418286205
Bayside (C),Yarra (C),1,480.312779749
Boroondara (C),Banyule (C),2,557.874675059
Boroondara (C),Bayside (C),2,1112.373012349
Boroondara (C),Boroondara (C),240,179995.385144338
Boroondara (C),Casey (C),2,402.440675258
Boroondara (C),Darebin (C),3,1920.360232885
Boroondara (C),Glen Eira (C),3,2098.181486984
Boroondara (C),Kingston (C),1,2145.611565422
Boroondara (C),Manningham (C),25,19946.011714044
Boroondara (C),Maribyrnong (C),3,1869.2462633250002
Boroondara (C),Maroondah (C),2,3926.381227869
Boroondara (C),Melbourne (C),25,21661.782949248
Boroondara (C),Melton (S),1,350.123930742
Boroondara (C),Merri-bek (C),4,1871.7653957950001
Boroondara (C),Monash (C),17,9893.339548281001
Boroondara (C),Moonee Valley (C),1,664.132721365
Boroondara (C),Nillumbik (S),2,750.500826997
Boroondara (C),Port Phillip (C),1,1300.496678326
Boroondara (C),Stonnington (C),22,14599.808276558999
Boroondara (C),Whitehorse (C),15,9123.857395014
Boroondara (C),Whittlesea (C),3,4789.328502018
Boroondara (C),Yarra (C),20,19284.616239558
Boroondara (C),Yarra Ranges (S),1,2858.624267755
Brimbank (C),Banyule (C),1,932.260088336
Brimbank (C),Brimbank (C),172,169648.217211076
Brimbank (C),Hobsons Bay (C),6,4335.535112496
Brimbank (C),Hume (C),2,2428.593149452
Brimbank (C),Maribyrnong (C),22,21316.923991767
Brimbank (C),Melbourne (C),5,2798.5802693799997
Brimbank (C),Melton (S),22,13150.61711744
Brimbank (C),Merri-bek (C),3,2292.751885823
Brimbank (C),Moonee Valley (C),6,5493.096793679
Brimbank (C),Moorabool (S),2,1886.662917586
Brimbank (C),Port Phillip (C),2,1374.5912779199998
Brimbank (C),Whittlesea (C),2,1916.506109979
Brimbank (C),Wyndham (C),8,8924.888709609
Campaspe (S),Campaspe (S),119,38052.05172257
Campaspe (S),Greater Bendigo (C),1,751.369892012
Campaspe (S),Greater Shepparton (C),2,802.820397307
Campaspe (S),Interstate,2,622.42140477
Cardinia (S),Baw Baw (S),5,5395.115086785
Cardinia (S),Cardinia (S),143,114087.552415766
Cardinia (S),Casey (C),16,13905.452339589
Cardinia (S),Frankston (C),4,4457.980744763
Cardinia (S),Greater Dandenong (C),6,4237.050152411
Cardinia (S),Kingston (C),6,2780.278522665
Cardinia (S),Knox (C),4,3751.122661127
Cardinia (S),Melbourne (C),1,593.296949307
Cardinia (S),Monash (C),2,3547.3548081239996
Cardinia (S),South Gippsland (S),1,282.484725211
Cardinia (S),Stonnington (C),1,702.685749824
Cardinia (S),Wellington (S),1,711.969327384
Cardinia (S),Yarra (C),1,1538.812770491
Casey (C),Baw Baw (S),2,1473.6677222019998
Casey (C),Boroondara (C),1,53.042041274
Casey (C),Brimbank (C),2,1033.310034099
Casey (C),Cardinia (S),14,13358.662072926
Casey (C),Casey (C),437,299010.217580571
Casey (C),Frankston (C),8,7891.441408513
Casey (C),Greater Dandenong (C),58,42612.505568992
Casey (C),Kingston (C),13,12074.189137782
Casey (C),Knox (C),6,6641.617484923
