origlga,triptime,cumdist
Ballarat (C),7.62,4.2835482
Frankston (C),10.342857142857143,5.467368
Yarra (C),11.222222222222221,2.2982130555555553
Greater Shepparton (C),12.296296296296296,10.923820740740739
Greater Dandenong (C),13.178571428571429,6.435045000000001
Manningham (C),13.584905660377359,4.072021886792453
Knox (C),13.59016393442623,7.282851803278689
Stonnington (C),13.763636363636364,4.280057272727273
Brimbank (C),14.0,5.398371481481482
Port Phillip (C),14.807017543859649,5.003441403508771
Melbourne (C),14.836363636363636,2.6395382272727272
Maroondah (C),15.05,9.9777085
Whitehorse (C),15.253521126760564,7.23088014084507
Hume (C),16.058823529411764,12.71338588235294
Monash (C),16.764705882352942,7.140220823529412
Hobsons Bay (C),16.794871794871796,6.908007179487179
Moonee Valley (C),16.884615384615383,4.082672884615385
Maribyrnong (C),16.928571428571427,7.451928214285714
Boroondara (C),16.961038961038962,4.845324285714286
Kingston (C),17.235294117647058,8.332664509803921
Glen Eira (C),18.27777777777778,7.690507638888889
Merri-bek (C),18.313432835820894,7.535248656716417
Darebin (C),18.375,6.42955625
Banyule (C),18.48076923076923,6.143855769230769
Greater Geelong (C),18.703703703703702,11.972855185185185
Greater Bendigo (C),19.479166666666668,17.625176666666665
Bayside (C),21.596774193548388,10.01084370967742
Whittlesea (C),23.523809523809526,14.083546190476191
Wyndham (C),27.925,15.510706250000002
Casey (C),31.675,22.28645475
Warrnambool (C),50.0,3.5488299999999997
