origlga,triptime,cumdist
Yarra,11.222222222222221,2.2982130555555553
Melbourne,14.836363636363636,2.6395382272727272
Manningham,13.584905660377359,4.072021886792453
Moonee Valley,16.884615384615383,4.082672884615385
Stonnington,13.763636363636364,4.280057272727273
Boroondara,16.961038961038962,4.845324285714286
Port Phillip,14.807017543859649,5.003441403508771
Brimbank,14.0,5.398371481481482
Frankston,10.342857142857143,5.467368
Banyule,18.48076923076923,6.143855769230769
Darebin,18.375,6.42955625
Greater Dandenong,13.178571428571429,6.435045000000001
Hobsons Bay,16.794871794871796,6.908007179487179
Monash,16.764705882352942,7.140220823529412
Whitehorse,15.253521126760564,7.23088014084507
Knox,13.59016393442623,7.282851803278689
Maribyrnong,16.928571428571427,7.451928214285714
Merri-bek,18.313432835820894,7.535248656716417
Glen Eira,18.27777777777778,7.690507638888889
Kingston,17.235294117647058,8.332664509803921
Maroondah,15.05,9.9777085
Bayside,21.596774193548388,10.01084370967742
Hume,16.058823529411764,12.71338588235294
Whittlesea,23.523809523809526,14.083546190476191
Wyndham,27.925,15.510706250000002
Casey,31.675,22.28645475
