LOCALITY,cafe_count
MELBOURNE,336
BRUNSWICK,69
DOCKLANDS,69
CARLTON,56
FITZROY,53
RICHMOND,50
PRESTON,46
SOUTH MELBOURNE,42
COBURG,37
FOOTSCRAY,36
COLLINGWOOD,36
PORT MELBOURNE,34
SOUTH YARRA,34
SOUTHBANK,33
CLAYTON,32
PARKVILLE,30
CHELTENHAM,30
HAWTHORN,28
SPRINGVALE,26
OAKLEIGH,26
THORNBURY,26
NORTHCOTE,26
BUNDOORA,24
ST KILDA,24
BRUNSWICK EAST,24
FRANKSTON,23
DANDENONG SOUTH,23
DANDENONG,23
BRIGHTON,23
ABBOTSFORD,23
MELBOURNE AIRPORT,22
FITZROY NORTH,20
CAMBERWELL,20
EAST MELBOURNE,20
NORTH MELBOURNE,20
RINGWOOD,20
MOONEE PONDS,19
RESERVOIR,19
WEST MELBOURNE,18
FAIRFIELD,18
DONCASTER EAST,18
GLEN WAVERLEY,18
PASCOE VALE,18
MOUNT WAVERLEY,17
FERNTREE GULLY,17
COBURG NORTH,15
BENTLEIGH EAST,15
MORDIALLOC,15
SUNSHINE,15
KENSINGTON,14
GLEN IRIS,14
MALVERN EAST,14
EPPING,14
YARRAVILLE,13
MENTONE,13
ELTHAM,13
SANDRINGHAM,13
ALBERT PARK,13
BOX HILL,13
BRUNSWICK WEST,12
ELWOOD,12
BALWYN NORTH,12
SEAFORD,11
BERWICK,11
NOBLE PARK,11
NEWPORT,11
CARNEGIE,11
ST ALBANS,11
HALLAM,11
IVANHOE,11
ASHBURTON,11
CAMPBELLFIELD,11
CROYDON,10
ASCOT VALE,10
KEW,10
CARLTON NORTH,10
ALTONA,10
ELSTERNWICK,10
BURWOOD,10
WANTIRNA SOUTH,9
TULLAMARINE,9
BELGRAVE,9
MULGRAVE,9
CHELSEA,9
ESSENDON,9
CREMORNE,9
HEIDELBERG,9
SURREY HILLS,9
BALWYN,9
LILYDALE,9
MOUNT ELIZA,9
CAULFIELD NORTH,9
MOORABBIN AIRPORT,8
WILLIAMSTOWN,8
POINT COOK,8
PRAHRAN,8
SEDDON,8
CRANBOURNE,8
MALVERN,8
RINGWOOD EAST,8
BLACKBURN,8
GREENSBOROUGH,8
CAROLINE SPRINGS,8
NARRE WARREN,7
SCORESBY,7
BORONIA,7
CAULFIELD EAST,7
BRAESIDE,7
CLAYTON SOUTH,7
ROWVILLE,7
HURSTBRIDGE,7
BLACK ROCK,7
WARRANDYTE,7
CANTERBURY,7
MITCHAM,7
BAYSWATER,7
DONCASTER,7
HADFIELD,6
KEYSBOROUGH,6
UPWEY,6
BEAUMARIS,6
WHEELERS HILL,6
MURRUMBEENA,6
HAWTHORN EAST,6
MOUNT EVELYN,6
BALACLAVA,6
ARMADALE,6
HEATHMONT,6
ALTONA NORTH,6
MOOROOLBARK,6
TAYLORS LAKES,6
CARRUM DOWNS,6
DEER PARK,6
GLEN HUNTLY,6
BRIGHTON EAST,6
CAULFIELD,6
MONT ALBERT,6
PARKDALE,5
MONTMORENCY,5
MIDDLE PARK,5
KEW EAST,5
NOTTING HILL,5
HUGHESDALE,5
ROSANNA,5
DERRIMUT,5
OLINDA,5
BURWOOD EAST,5
DIAMOND CREEK,5
MILL PARK,5
ASPENDALE,5
FLEMINGTON,5
HAMPTON PARK,5
CLYDE NORTH,5
CRANBOURNE WEST,5
TEMPLESTOWE,5
HIGHETT,5
BEACONSFIELD,5
KEILOR EAST,4
BENTLEIGH,4
CLIFTON HILL,4
NUNAWADING,4
ALPHINGTON,4
LANGWARRIN,4
MOORABBIN,4
LAVERTON NORTH,4
AVONDALE HEIGHTS,4
KNOXFIELD,4
SPOTSWOOD,4
ST LEONARDS,4
MARIBYRNONG,4
HAMPTON,4
WINDSOR,4
SOUTH WHARF,4
CAULFIELD SOUTH,4
SPRINGVALE SOUTH,4
BOX HILL SOUTH,4
UPPER FERNTREE GULLY,3
WANTIRNA,3
