Hour,TripCount,AvgTravelTime,MedianTravelTime,AvgDistance
6,3,19.0,10.0,6.19145
7,11,13.454545454545455,8.0,4.314677272727272
8,32,28.1875,10.0,25.0584590625
9,32,10.59375,9.0,4.0729665624999996
10,48,24.791666666666668,20.0,8.215133958333334
11,81,13.308641975308642,10.0,7.031945679012345
12,80,13.35,8.0,4.449016125
13,40,12.55,10.0,5.20065225
14,37,19.16216216216216,10.0,7.767395945945945
15,18,28.166666666666668,17.0,12.539682222222224
16,28,20.25,12.0,9.83282142857143
17,55,15.872727272727273,10.0,6.910333454545454
18,98,18.96938775510204,13.5,9.292464489795918
19,37,21.89189189189189,19.0,11.244177567567569
20,14,10.714285714285714,10.0,4.635578571428572
21,2,8.5,8.5,1.9755150000000001
