Suburb,Population
ABBEYARD,4
ABBOTSFORD,9088
ABERFELDIE,3925
ABERFELDY,7
ACHERON,146
ADA,0
ADAMS ESTATE,83
ADDINGTON,65
ADELAIDE LEAD,85
AGNES,61
AINTREE,7982
AIRE VALLEY,0
AIREYS INLET,979
AIRLY,160
AIRPORT WEST,8173
ALBACUTYA,0
ALBANVALE,5641
ALBERT PARK,6044
ALBERTON,297
ALBERTON WEST,76
ALBION,4334
ALEXANDRA,2801
ALFREDTON,11822
ALLAMBEE,24
ALLAMBEE RESERVE,96
ALLAMBEE SOUTH,61
ALLANS FLAT,297
ALLANSFORD,1410
ALLENDALE,185
ALLESTREE,168
ALMA,195
ALMONDS,31
ALMURTA,66
ALPHINGTON,5702
ALTONA,11490
ALTONA MEADOWS,18479
ALTONA NORTH,12962
ALVIE,141
AMHERST,63
AMOR,4
AMPHITHEATRE,223
ANAKIE,734
ANCONA,99
ANDERSON,26
ANGLERS REST,31
ANGLESEA,3208
ANNUELLO,40
ANTWERP,53
APOLLO BAY,1790
APPIN,12
APPIN SOUTH,38
APSLEY,329
ARARAT,8500
ARAWATA,92
ARBUCKLE,0
ARCADIA,212
ARCADIA SOUTH,95
ARCHDALE,23
ARCHDALE JUNCTION,12
ARCHERTON,16
ARCHIES CREEK,32
ARDEER,3170
ARDMONA,497
AREEGRA,18
ARGYLE,272
ARMADALE,9368
ARMSTRONG,90
ARMSTRONG CREEK,11247
ARNOLD,56
ARNOLD WEST,19
ARTHURS CREEK,478
ARTHURS SEAT,414
ASCOT (BALLARAT - VIC.),93
ASCOT (GREATER BENDIGO - VIC.),2571
ASCOT VALE,15197
ASHBOURNE,242
ASHBURTON,7952
ASHWOOD,7154
ASPENDALE,7285
ASPENDALE GARDENS,6427
ATHLONE,147
ATTWOOD,3309
AUBREY,3
AUCHMORE,5
AVALON,255
AVENEL,1112
AVOCA,1356
AVON PLAINS,8
AVONDALE HEIGHTS,12388
AVONMORE,42
AVONSLEIGH,844
AXE CREEK,452
AXEDALE,984
AYRFORD,39
BACCHUS MARSH,7808
BADDAGINNIE,347
BADGER CREEK,1610
BAEL BAEL,10
BAGSHOT,355
BAGSHOT NORTH,39
BAHGALLAH,56
BAILIESTON,120
BAIRNSDALE,7905
BAKERY HILL,180
BALACLAVA,5392
BALD HILLS,114
BALINTORE,59
BALLAN,3392
BALLANGEICH,71
BALLAPUR,19
BALLARAT CENTRAL,5378
BALLARAT EAST,5937
BALLARAT NORTH,4041
BALLENDELLA,120
BALLIANG,254
BALLIANG EAST,199
BALLYROGAN,77
BALMATTUM,135
BALMORAL,281
BALNARRING,2371
BALNARRING BEACH,471
BALOOK,9
BALWYN,13495
BALWYN NORTH,21302
BAMAWM,491
BAMAWM EXTENSION,282
BAMBRA,115
BAMGANIE,44
BANDIANA,855
BANGERANG,62
BANGHOLME,749
BANNERTON,78
BANNOCKBURN,6470
BANYAN,22
BANYENA,27
BARANDUDA,3041
BARFOLD,82
BARINGHUP,185
BARINGHUP WEST,11
BARJARG,141
BARKERS CREEK,487
BARKLY,49
BARKSTEAD,41
BARMAH,229
BARNADOWN,12
BARNAWARTHA,987
BARNAWARTHA NORTH,188
BAROMI,149
BARONGAROOK,458
BARONGAROOK WEST,291
BARRABOOL,247
BARRAKEE,22
BARRAMUNGA,11
BARRAPORT,45
BARRAPORT WEST,5
BARRYS REEF,39
BARUNAH PARK,33
BARUNAH PLAINS,10
BARWIDGEE,96
BARWITE,269
BARWON DOWNS,136
BARWON HEADS,4353
BASALT,23
BASS,405
BATESFORD,1141
BATHUMI,76
BAW BAW,0
BAW BAW VILLAGE,30
BAXTER,2166
BAYINDEEN,22
BAYLES,445
BAYNTON,95
BAYSWATER,12262
BAYSWATER NORTH,9014
BEACONSFIELD,7267
BEACONSFIELD UPPER,2997
BEALIBA,213
BEARII,167
BEARS LAGOON,53
BEAUCHAMP,44
BEAUFORT,1712
BEAUMARIS,13947
BEAZLEYS BRIDGE,24
BEEAC,394
BEECH FOREST,125
BEECHWORTH,4274
BEENAK,17
BELGRAVE,3894
BELGRAVE HEIGHTS,1398
BELGRAVE SOUTH,1670
BELL PARK,5602
BELL POST HILL,5083
BELLARINE,169
BELLBIRD CREEK,5
BELLBRAE,1346
BELLBRIDGE,393
BELLELLEN,59
BELLFIELD (BANYULE - VIC.),1996
BELLFIELD (NORTHERN GRAMPIANS - VIC.),0
BELLS BEACH,151
BELMONT,15066
BEMM RIVER,72
BENA,303
BENALLA,10822
BENAMBRA,173
BENAYEO,69
BEND OF ISLANDS,267
BENDIGO,5652
BENDOC,109
BENGWORDEN,93
BENJEROOP,56
BENLOCH,138
BENNISON,42
BENTLEIGH,17921
BENTLEIGH EAST,30159
BENWERRIN,9
BEREMBOKE,165
BERRIMAL,52
BERRINGA,194
BERRINGAMA,35
BERRIWILLOCK,180
BERRYBANK,37
BERRYS CREEK,174
BERWICK,50298
BESSIEBELLE,113
BET BET,135
BETE BOLONG,84
BETE BOLONG NORTH,13
BETHANGA,485
BETLEY,101
BEULAH,312
BEVERFORD,337
BEVERIDGE,4642
BIG DESERT,8
BIG HILL (GREATER BENDIGO - VIC.),281
BIG HILL (SURF COAST - VIC.),38
BIG PATS CREEK,60
BIGGARA,61
BILLABONG,0
BIMBOURIE,11
BINDI,49
BINGINWARRI,134
BINGO MUNJIE,8
BIRCHIP,694
BIRCHIP WEST,9
BIRDWOODTON,748
BIRREGURRA,942
BITTERN,4276
BLACK HILL,2124
BLACK RANGE,274
BLACK ROCK,6389
BLACKBURN,14478
BLACKBURN NORTH,7627
BLACKBURN SOUTH,10939
BLACKWARRY,38
BLACKWOOD,387
BLAIRGOWRIE,2786
BLAKEVILLE,43
BLAMPIED,237
BLIND BIGHT,1290
BLOWHARD,82
BO PEEP,25
BOBINAWARRAH,100
BOCHARA,84
BOGONG,8
BOHO,88
BOHO SOUTH,93
BOIGBEAT,19
BOINKA,14
BOISDALE,307
BOLANGUM,4
BOLINDA,185
BOLTON,15
BOLWARRA,647
BOLWARRAH,48
BONA VISTA,107
BONANG,52
BONBEACH,6855
BONEGILLA,610
BONEO,314
BONN,48
BONNIE BROOK,333
BONNIE DOON,666
BONSHAW,949
BOOKAAR,159
BOOLA,0
BOOLARONG,5
BOOLARRA,1023
BOOLARRA SOUTH,147
BOOLE POOLE,9
BOOLITE,38
BOOMAHNOOMOONAH,14
BOONAH,18
BOORCAN,142
BOORHAMAN,135
BOORHAMAN EAST,13
BOORHAMAN NORTH,53
BOOROLITE,166
BOOROOL,54
BOORT,940
BOOSEY,108
BORALMA,79
BORNES HILL,33
BORONIA,23607
BORUNG,59
BOSTOCKS CREEK,85
BOTANIC RIDGE,6739
BOUNDARY BEND,154
BOWENVALE,209
BOWEYA,51
BOWEYA NORTH,42
BOWMANS FOREST,106
BOWSER,44
BOX HILL,14353
BOX HILL NORTH,12337
BOX HILL SOUTH,8491
BOXWOOD,19
BRADFORD,12
BRADVALE,46
BRAESIDE,25
BRANDY CREEK,94
BRANXHOLME,304
BRAVINGTON,14
BRAYBROOK,9682
BREAKAWAY CREEK,39
BREAKWATER,1060
BREAMLEA,151
BRENANAH,29
BREWSTER,47
BRIAGOLONG,1133
BRIAR HILL,3220
BRIDGE CREEK,117
BRIDGEWATER,133
BRIDGEWATER NORTH,54
BRIDGEWATER ON LODDON,341
BRIGHT,2620
BRIGHTON,23252
BRIGHTON EAST,16757
BRIM,181
BRIMBOAL,11
BRIMIN,56
BRIMPAEN,80
BRINGALBERT,6
BRIT BRIT,42
BROADFORD,4592
BROADMEADOWS,12524
BROADWATER,75
BRODRIBB RIVER,29
BROKEN CREEK,45
BROMLEY,46
BROOKFIELD,10782
BROOKLYN,1979
BROOKVILLE,16
BROOMFIELD,213
BROUGHTON,65
BROWN HILL,4489
BROWNS PLAINS,99
BRUARONG,114
BRUCKNELL,127
BRUMBY,0
BRUNSWICK,24896
BRUNSWICK EAST,13279
BRUNSWICK WEST,14746
BRUTHEN,820
BUANGOR,112
BUCHAN,201
BUCHAN SOUTH,102
BUCKLAND,156
BUCKLEY,228
BUCKLEY SWAMP,21
BUCKRABANYULE,52
BUDGEE BUDGEE,0
BUDGEREE,146
BUDGERUM EAST,0
BUFFALO,284
BUFFALO RIVER,285
BULART,104
BULDAH,5
BULGA,0
BULGANA,19
BULLA,668
BULLAHARRE,19
BULLAROOK,77
BULLARTO,89
BULLARTO SOUTH,48
BULLEEN,11219
BULLENGAROOK,714
BULLIOH,63
BULLUMWAAL,45
