LOCALITY,cafe_count,Population,cafe_density
POINT COOK,8,66781,0.11979455234273222
CRAIGIEBURN,1,65178,0.015342600263892727
MELBOURNE,336,54941,6.115651335068528
RESERVOIR,19,51096,0.3718490684202286
BERWICK,11,50298,0.21869656845202592
GLEN WAVERLEY,18,42642,0.4221190375685943
ST ALBANS,11,38042,0.2891540928447505
FRANKSTON,23,37331,0.6161099354423937
HOPPERS CROSSING,2,37216,0.05374032674118659
TRUGANINA,2,36305,0.05508883073956756
MOUNT WAVERLEY,17,35340,0.4810413129598189
PRESTON,46,33790,1.361349511689849
ROWVILLE,7,33571,0.2085133001697894
EPPING,14,33489,0.4180477171608588
NOBLE PARK,11,32257,0.3410112533713613
CLYDE NORTH,5,31681,0.15782330103216438
DONCASTER EAST,18,30926,0.5820345340490202
NARRE WARREN SOUTH,2,30909,0.0647060726649196
BENTLEIGH EAST,15,30159,0.4973639709539441
DANDENONG,23,30127,0.7634347927108573
KEYSBOROUGH,6,30018,0.19988007195682592
MILL PARK,5,28712,0.1741432153803288
CROYDON,10,28608,0.3495525727069351
RICHMOND,50,28587,1.7490467695106167
BUNDOORA,24,28068,0.8550662676357417
NARRE WARREN,7,27689,0.25280797428581747
FERNTREE GULLY,17,27398,0.6204832469523323
DOREEN,2,27122,0.07374087456677236
COBURG,37,26574,1.3923383758560999
GLEN IRIS,14,26131,0.5357621216180016
HAMPTON PARK,5,26082,0.19170309025381488
NORTHCOTE,26,25276,1.0286437727488527
SOUTH YARRA,34,25028,1.3584785040754355
DONCASTER,7,25020,0.27977617905675456
SOUTH MORANG,3,24989,0.12005282324222658
BRUNSWICK,69,24896,2.771529562982005
KEW,10,24499,0.4081799257112535
CAROLINE SPRINGS,8,24488,0.32669062397909177
ENDEAVOUR HILLS,2,24455,0.08178286648947045
WOLLERT,1,24407,0.04097185233744418
CHELTENHAM,30,23992,1.2504168056018672
GLENROY,3,23792,0.12609280430396774
BORONIA,7,23607,0.29652221798619055
LANGWARRIN,4,23588,0.16957775139901646
MERNDA,3,23369,0.12837519791176344
BRIGHTON,23,23252,0.9891622226045071
LALOR,3,23219,0.1292045307722124
MOOROOLBARK,6,23059,0.2602020902901253
SOUTHBANK,33,22631,1.4581768370818788
HAWTHORN,28,22322,1.2543678881820626
MALVERN EAST,14,22296,0.6279153211338357
SPRINGVALE,26,22174,1.1725444213944258
CARRUM DOWNS,6,21976,0.2730251183108846
CAMBERWELL,20,21965,0.9105394946505805
BALWYN NORTH,12,21302,0.5633273870998028
CRANBOURNE,8,21281,0.3759221841078897
ESSENDON,9,21240,0.423728813559322
GREENSBOROUGH,8,21070,0.37968675842429994
WANTIRNA SOUTH,9,20754,0.43365134431916735
WHEELERS HILL,6,20652,0.2905287623474724
THOMASTOWN,3,20234,0.14826529603637442
CRANBOURNE WEST,5,19969,0.250388101557414
MULGRAVE,9,19889,0.4525114384835839
ST KILDA,24,19490,1.2314007183170856
RINGWOOD,20,19144,1.0447137484329294
THORNBURY,26,19005,1.3680610365693238
CLAYTON,32,18988,1.6852749104697704
ELTHAM,13,18847,0.6897649493288056
FRANKSTON SOUTH,2,18801,0.10637732035530024
MOUNT ELIZA,9,18734,0.48040994982384966
SUNSHINE WEST,1,18552,0.05390254420008624
OFFICER,3,18503,0.1621358698589418
ALTONA MEADOWS,2,18479,0.1082309648790519
PASCOE VALE,18,18171,0.9905894006934125
DEER PARK,6,18145,0.3306696059520529
BENTLEIGH,4,17921,0.22320183025500812
CARNEGIE,11,17909,0.614216315818862
PORT MELBOURNE,34,17633,1.928202801565247
LILYDALE,9,17348,0.5187917915609869
SEAFORD,11,17215,0.6389776357827476
FOOTSCRAY,36,17131,2.1014535053411945
TEMPLESTOWE,5,16966,0.2947070611811859
